Rank,Party,Party_Code,Municipality,OBEC_Code,Commission_ID,Commission_Size,Party_Share_in_Municipality_%,Party_National_%,Probability_of_Zero,Status
1,Piráti,16,Blansko,581283,11664,242,9.72,0.1,1.79e-11,HIGHLY SUSPICIOUS
2,Stačilo!,25,Praha 3,500097,122,820,2.57,0.0,5.33e-10,HIGHLY SUSPICIOUS
3,STAN,23,Ústí nad Labem-město,567892,9463,156,12.58,0.0,7.78e-10,HIGHLY SUSPICIOUS
4,Piráti,16,Most,567027,9215,151,6.54,0.1,3.64e-05,HIGHLY SUSPICIOUS
5,Piráti,16,Bílina,567451,9375,190,5.09,0.1,4.90e-05,HIGHLY SUSPICIOUS
6,Piráti,16,Humpolec,547999,5376,120,7.83,0.1,5.61e-05,HIGHLY SUSPICIOUS
7,Piráti,16,Luže,571776,10168,158,5.95,0.1,6.18e-05,HIGHLY SUSPICIOUS
8,Stačilo!,25,Praha 8,500208,511,270,3.29,0.0,1.20e-04,HIGHLY SUSPICIOUS
9,STAN,23,Mladá Boleslav,535419,2616,62,12.44,0.0,2.65e-04,HIGHLY SUSPICIOUS
10,STAN,23,Kryry,566314,9063,126,6.27,0.0,2.86e-04,HIGHLY SUSPICIOUS
11,Stačilo!,25,Praha 5,500143,297,306,2.52,0.0,4.08e-04,HIGHLY SUSPICIOUS
12,STAN,23,Brandýs nad Labem-Stará Boleslav,538094,3052,48,14.95,0.0,4.21e-04,HIGHLY SUSPICIOUS
13,AUTO,20,Moravská Třebová,578444,11208,99,7.13,0.1,6.59e-04,HIGHLY SUSPICIOUS
14,STAN,23,Kroměříž,588296,12759,87,8.06,0.0,6.71e-04,HIGHLY SUSPICIOUS
15,Piráti,16,Libina,539961,3499,113,6.12,0.1,7.94e-04,HIGHLY SUSPICIOUS
16,Piráti,16,Pavlov,540609,3612,90,7.44,0.1,9.55e-04,HIGHLY SUSPICIOUS
17,SPD,6,Čimelice,549339,5576,60,10.91,4.3,9.75e-04,HIGHLY SUSPICIOUS
18,STAN,23,Litovel,503444,960,71,9.14,0.0,1.11e-03,SUSPICIOUS
19,Piráti,16,Moravská Třebová,578444,11208,99,6.63,0.1,1.12e-03,SUSPICIOUS
20,Stačilo!,25,Praha 8,500208,499,201,3.29,0.0,1.21e-03,SUSPICIOUS
21,Piráti,16,Třešť,588032,12713,89,7.27,0.1,1.21e-03,SUSPICIOUS
22,STAN,23,Chodský Újezd,560910,7973,98,6.56,0.0,1.29e-03,SUSPICIOUS
23,SPOLU,11,Kasejovice,557862,7552,28,20.67,0.2,1.53e-03,SUSPICIOUS
24,STAN,23,Oskava,540544,3604,75,8.24,0.0,1.58e-03,SUSPICIOUS
25,Stačilo!,25,Krásná Lípa,562611,8327,147,4.23,0.0,1.74e-03,SUSPICIOUS
26,Piráti,16,Zahraničí,999997,14765,19,28.24,0.1,1.82e-03,SUSPICIOUS
27,STAN,23,Velký Bor,557382,7488,46,12.78,0.0,1.86e-03,SUSPICIOUS
28,AUTO,20,Libín,544744,4182,55,10.61,0.1,2.10e-03,SUSPICIOUS
29,Piráti,16,Orlová,599069,14473,121,4.95,0.1,2.14e-03,SUSPICIOUS
30,SPOLU,11,Předmíř,551627,6260,36,15.48,0.2,2.34e-03,SUSPICIOUS
